  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps

--------------------------------------------------------
                  Surf. Water Temp. (degrees C)

Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
2021 187   12.68   18.06   17.37   21.90   20.14   23.59
2021 188   12.46   17.70   16.93   22.06   20.13   23.76
2021 189   12.48   17.47   16.09   22.06   19.67   23.44
2021 190   12.82   17.61   16.14   21.99   19.41   22.93
2021 191   13.40   17.83   16.69   22.01   19.81   22.40
2021 192   14.13   18.11   17.08   21.99   20.11   21.62
2021 193   14.82   18.50   17.43   21.99   20.50   21.49
2021 194   15.34   18.92   17.89   22.11   20.86   22.13
2021 195   15.74   19.13   18.33   22.18   21.03   22.42
2021 196   15.97   19.28   18.46   22.21   21.15   22.46
2021 197   16.25   19.45   18.61   22.13   21.17   22.40
2021 198   16.73   19.68   18.96   22.04   21.08   22.32
2021 199   17.22   19.97   19.17   22.07   20.93   22.42
2021 200   17.31   20.22   19.30   22.23   20.95   22.73
2021 201   16.87   20.32   19.27   22.41   21.06   22.94
2021 202   16.60   20.26   19.14   22.57   21.09   22.97
2021 203   16.62   20.47   19.18   22.78   21.14   23.05
2021 204   16.61   20.77   19.35   23.03   21.28   23.25
2021 205   16.65   21.04   19.50   23.19   21.36   23.46
2021 206   16.74   21.28   19.64   23.35   21.48   23.76
2021 207   17.07   21.53   19.92   23.56   21.70   24.06
2021 208   17.51   21.61   20.07   23.61   21.74   24.10
2021 209   17.59   21.56   20.09   23.61   21.74   24.14
2021 210   17.37   21.38   20.00   23.59   21.65   24.09
2021 211   17.22   21.11   19.75   23.48   21.45   23.89
2021 212   17.14   20.86   19.53   23.38   21.30   23.58
2021 213   17.07   20.70   19.40   23.33   21.24   23.32
2021 214   17.15   20.69   19.38   23.31   21.14   23.19
2021 215   17.34   20.80   19.49   23.39   21.21   23.23
2021 216   17.50   20.94   19.75   23.59   21.57   23.41
2021 217   17.59   21.08   20.04   23.82   22.02   23.59
2021 218   17.66   21.17   20.23   23.99   22.32   23.74
2021 219   17.73   21.26   20.38   24.17   22.57   23.95
2021 220   17.92   21.45   20.59   24.35   22.86   24.08
2021 221   18.18   21.65   20.89   24.70   23.34   24.25
2021 222   18.30   21.81   21.12   24.73   23.57   24.42
2021 223   18.26   21.84   21.23   24.61   23.63   24.46
2021 224   18.13   21.86   21.27   24.57   23.63   24.45
2021 225   18.00   21.88   21.25   24.51   23.59   24.37
2021 226   18.00   21.85   21.15   24.41   23.48   24.26
2021 227   18.19   21.87   21.12   24.36   23.37   24.15
2021 228   18.37   22.03   21.31   24.46   23.40   24.17
2021 229   18.55   22.32   21.69   24.71   23.65   24.21
2021 230   18.85   22.69   22.03   24.93   23.88   24.39
2021 231   19.20   23.10   22.44   25.01   23.96   24.57
2021 232   19.39   23.41   22.71   25.17   24.04   24.85
2021 233   19.15   23.39   22.91   25.41   24.36   25.10
2021 234   18.83   23.09   22.96   25.56   24.63   25.42
2021 235   18.72   22.97   22.93   25.62   24.76   25.67
2021 236   18.67   23.08   22.96   25.64   24.72   25.71
2021 237   18.72   23.22   23.11   25.71   24.80   25.75
2021 238   18.72   23.30   23.20   25.80   24.94   25.84
2021 239   18.59   23.28   23.05   25.86   24.80   25.76
2021 240   18.29   23.24   22.73   25.86   24.49   25.65
2021 241   18.01   23.19   22.44   25.81   24.27   25.64
2021 242   17.89   23.13   22.22   25.58   24.05   25.56
2021 243   17.91   23.02   22.04   25.26   23.88   25.26
2021 244   18.00   22.89   21.87   24.88   23.53   24.68
2021 245   18.04   22.77   21.68   24.65   23.22   24.13
2021 246   17.99   22.51   21.45   24.45   22.95   23.69
2021 247   17.86   22.09   21.19   24.20   22.79   23.20
2021 248   17.71   21.85   20.89   23.89   22.51   22.82
2021 249   17.47   21.70   20.61   23.67   22.20   22.56
2021 250   17.21   21.48   20.35   23.55   22.02   22.44
2021 251   16.87   21.23   20.09   23.34   21.80   22.34
2021 252   16.63   20.98   19.71   23.08   21.53   22.13
2021 253   16.61   20.87   19.46   22.87   21.32   21.92
2021 254   16.63   20.80   19.36   22.71   21.24   21.86
2021 255   16.56   20.74   19.30   22.62   21.18   21.88
2021 256   16.49   20.70   19.22   22.61   21.04   21.97
2021 257   16.38   20.66   19.16   22.60   21.05   22.08
2021 258   16.28   20.62   19.10   22.55   21.12   22.06
2021 259   16.24   20.65   19.14   22.55   21.15   22.09
2021 260   16.13   20.61   19.18   22.66   21.26   22.27
2021 261   16.04   20.54   19.16   22.70   21.34   22.20
2021 262   16.06   20.52   19.18   22.63   21.31   22.02
2021 263   15.97   20.44   19.13   22.50   21.23   21.85
2021 264   15.64   20.16   18.96   22.13   21.10   21.40
2021 265   15.43   19.66   18.60   21.52   20.79   20.61
2021 266   15.38   19.09   18.01   20.86   20.37   19.64
2021 267   15.28   18.59   17.33   20.35   20.03   18.86
2021 268   15.07   18.24   16.98   20.12   19.87   18.50
2021 269   14.86   17.99   16.75   19.97   19.75   18.42
2021 270   14.79   17.85   16.53   19.84   19.59   18.50
2021 271   14.82   17.78   16.39   19.73   19.33   18.47
2021 272   14.91   17.80   16.38   19.68   19.10   18.45
2021 273   15.01   17.87   16.35   19.62   18.83   18.52
2021 274   15.09   17.96   16.34   19.60   18.64   18.64
2021 275   15.21   18.04   16.42   19.62   18.56   18.71
2021 276   15.33   18.06   16.50   19.64   18.61   18.73
2021 277   15.40   18.06   16.56   19.69   18.60   18.86
2021 278   15.39   18.06   16.63   19.68   18.50   18.96
2021 279   15.37   18.07   16.71   19.68   18.48   19.05
2021 280   15.45   18.12   16.76   19.78   18.56   19.23
2021 281   15.45   18.16   16.80   19.88   18.56   19.44
2021 282   15.37   18.17   16.82   19.86   18.50   19.63
2021 283   15.24   18.11   16.83   19.72   18.37   19.63
2021 284   14.92   17.95   16.81   19.58   18.39   19.60
2021 285   14.77   17.78   16.77   19.60   18.54   19.56
2021 286   14.70   17.70   16.70   19.58   18.53   19.50
2021 287   14.63   17.66   16.68   19.52   18.45   19.37
2021 288   14.32   17.55   16.64   19.24   18.23   18.72
2021 289   13.98   17.29   16.29   18.85   17.80   17.84
2021 290   13.80   17.05   15.92   18.55   17.43   17.13
2021 291   13.81   16.99   15.65   18.33   16.99   16.69
2021 292   13.82   16.94   15.57   18.22   16.69   16.56
2021 293   13.72   16.86   15.53   18.18   16.56   16.56
2021 294   13.55   16.72   15.44   18.10   16.41   16.53
2021 295   13.34   16.46   15.19   17.91   16.13   16.30
2021 296   13.11   16.11   14.87   17.53   15.71   15.81
2021 297   12.85   15.84   14.63   17.23   15.58   15.32
2021 298   12.54   15.49   14.35   17.00   15.46   14.99
2021 299   12.20   15.06   14.00   16.60   15.14   14.39
2021 300   12.00   14.79   13.68   16.20   14.81   13.63
2021 301   11.88   14.53   13.53   16.01   14.57   13.15
2021 302   11.68   14.16   13.34   15.70   14.37   12.66
2021 303   11.56   13.91   13.05   15.24   14.02   12.22
2021 304   11.36   13.74   12.84   15.02   13.67   12.17
2021 305   11.07   13.46   12.56   14.79   13.42   11.84
2021 306   10.75   13.10   12.17   14.37   13.12   11.27
2021 307   10.49   12.74   11.85   13.94   12.73   10.76
2021 308   10.33   12.47   11.70   13.68   12.46   10.44
2021 309   10.22   12.30   11.60   13.57   12.32   10.29
2021 310   10.12   12.16   11.51   13.51   12.24   10.30
2021 311   10.05   12.10   11.46   13.42   12.16   10.38
2021 312   10.02   12.10   11.46   13.41   12.20   10.52
2021 313    9.97   12.10   11.44   13.38   12.19   10.61
2021 314    9.89   12.03   11.38   13.26   12.09   10.66
2021 315    9.82   11.89   11.26   13.17   11.98   10.70
2021 316    9.66   11.69   11.07   13.03   11.80   10.75
2021 317    9.57   11.56   10.99   12.97   11.67   10.69
2021 318    9.50   11.41   10.93   12.83   11.52   10.60
2021 319    9.30   11.19   10.80   12.56   11.24   10.49
2021 320    9.05   10.95   10.67   12.20   10.95   10.38
2021 321    8.66   10.54   10.52   11.91   10.74   10.25
2021 322    8.24   10.09   10.18   11.43   10.30    9.92
2021 323    7.65    9.52    9.74   10.89    9.80    9.34
2021 324    7.08    9.12    9.36   10.58    9.59    8.97
2021 325    6.96    8.96    9.06   10.33    9.32    8.47
2021 326    6.79    8.79    8.82   10.11    9.08    7.64
2021 327    6.54    8.64    8.49    9.66    8.83    6.42
2021 328    6.39    8.56    8.34    9.53    8.79    6.34
2021 329    6.24    8.43    8.22    9.38    8.80    6.14
2021 330    6.12    8.24    8.06    9.07    8.73    5.95
2021 331    6.07    8.07    7.93    8.64    8.61    5.75
2021 332    6.07    7.94    7.84    8.35    8.50    5.60
2021 333    6.03    7.79    7.72    8.14    8.40    5.50
2021 334    5.96    7.69    7.60    8.00    8.30    5.44
2021 335    5.65    7.59    7.43    7.93    8.19    5.51
2021 336    5.21    7.45    7.15    7.88    8.01    5.60
2021 337    5.15    7.26    6.95    7.75    7.78    5.61
2021 338    5.07    7.13    6.74    7.62    7.56    5.66
2021 339    5.01    6.95    6.59    7.53    7.35    5.64
2021 340    4.95    6.75    6.45    7.41    7.18    5.57
2021 341    4.91    6.63    6.33    7.28    7.06    5.53
2021 342    4.88    6.44    6.23    7.12    6.97    5.50
2021 343    4.87    6.39    6.17    6.99    6.91    5.48
2021 344    4.85    6.33    6.15    6.94    6.85    5.48
2021 345    4.84    6.30    6.11    6.90    6.82    5.46
2021 346    4.86    6.31    6.10    6.85    6.78    5.33
2021 347    4.92    6.32    6.03    6.88    6.79    5.32
2021 348    4.95    6.31    6.08    6.84    6.76    5.31
2021 349    4.94    6.27    6.23    6.81    6.74    5.39
2021 350    4.92    6.21    6.30    6.82    6.73    5.60
2021 351    4.88    6.16    6.29    6.80    6.70    5.70
2021 352    4.83    6.11    6.25    6.70    6.63    5.55
2021 353    4.78    6.00    6.21    6.51    6.47    5.27
2021 354    4.73    5.85    6.13    6.34    6.35    5.02
2021 355    4.67    5.76    6.07    6.29    6.27    4.89
2021 356    4.59    5.71    5.98    6.26    6.23    4.66
2021 357    4.50    5.63    5.81    6.22    6.20    4.36
2021 358    4.33    5.53    5.55    6.06    6.11    4.05
2021 359    4.19    5.49    5.39    5.92    6.00    3.96
2021 360    4.17    5.45    5.27    5.76    5.92    4.08
2021 361    4.14    5.40    4.81    5.46    5.79    4.04
2021 362    4.11    5.36    4.69    5.29    5.70    3.93
2021 363    4.08    5.28    4.63    5.18    5.63    3.75
2021 364    3.99    5.14    4.57    4.97    5.55    3.50
2021 365    3.93    4.98    4.48    4.82    5.51    3.18
