  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps
  
--------------------------------------------------------
               Surf. Water Temp. (degrees C)
   
Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
2003 156    3.46    6.85    6.17   11.90    6.65   13.12
2003 157    3.43    7.17    6.34   12.29    6.98   13.53
2003 158    3.49    7.47    6.57   14.11    7.49   15.01
2003 159    3.63    7.59    6.69   14.30    7.99   15.23
2003 160    3.74    7.63    6.68   13.35    7.59   14.73
2003 161    3.66    7.86    6.64   13.20    7.89   14.12
2003 162    3.67    7.81    6.70   13.58    7.90   14.89
2003 163    3.96    7.71    6.79   14.00    7.94   15.32
2003 164    4.14    8.47    7.36   14.39    8.27   15.81
2003 165    4.26    8.70    7.76   14.75    8.68   16.56
2003 166    4.66    9.06    8.18   15.19    9.51   17.06
2003 167    4.55   10.05    8.95   15.69   10.12   17.18
2003 168    4.56   10.91    9.86   15.95   11.07   17.95
2003 169    4.71   11.51   10.23   16.40   12.36   18.24
2003 170    5.20   10.36    9.23   16.47   12.70   17.79
2003 171    5.17   10.54    9.36   15.82   12.19   17.17
2003 172    5.25   11.26    9.95   16.56   12.58   17.41
2003 173    5.21   11.53   10.44   16.27   12.88   18.24
2003 174    5.25   12.46   11.92   17.59   13.36   20.39
2003 175    5.37   13.27   12.81   18.95   14.12   21.24
2003 176    5.37   13.73   13.72   20.13   16.39   21.66
2003 177    5.27   13.36   13.45   20.44   17.42   21.42
2003 178    5.30   13.21   12.49   19.08   16.76   20.57
2003 179    5.75   14.68   13.43   19.05   15.99   18.89
2003 180    6.04   14.58   13.66   19.40   16.70   20.67
2003 181    6.49   15.18   14.00   19.58   16.87   21.02
2003 182    7.00   15.74   14.61   19.92   17.50   21.43
2003 183    7.18   16.16   15.15   20.46   18.05   21.80
2003 184    7.16   16.47   15.73   21.08   18.70   22.05
2003 185    7.14   16.64   16.25   21.41   19.14   22.21
2003 186    7.05   16.81   16.49   21.25   19.04   22.27
2003 187    7.15   16.99   16.64   21.27   18.80   22.34
2003 188    7.18   17.20   17.00   21.40   18.76   22.38
2003 189    7.14   17.23   16.99   21.40   18.81   22.29
2003 190    7.25   17.15   16.62   21.21   18.89   22.00
2003 191    7.58   17.05   16.31   20.90   18.64   21.84
2003 192    8.06   16.91   15.96   20.62   17.91   21.68
2003 193    8.42   16.82   15.63   20.45   17.25   21.55
2003 194    8.75   16.86   15.46   20.54   16.88   21.66
2003 195    8.56   16.99   15.41   20.85   17.10   21.72
2003 196    8.11   17.01   15.35   20.90   17.15   21.62
2003 197    8.03   16.98   15.20   20.80   16.82   21.54
2003 198    8.24   17.23   15.24   20.87   16.66   21.59
2003 199    8.39   17.41   15.34   21.13   16.99   21.65
2003 200    8.77   17.65   15.49   21.28   17.11   21.65
2003 201    9.20   17.79   15.65   21.29   17.26   21.60
2003 202    9.59   17.81   15.79   21.23   17.59   21.37
2003 203    9.98   17.85   15.95   21.20   18.01   21.20
2003 204   10.41   17.94   16.15   21.23   18.40   21.07
2003 205   10.98   18.15   16.40   21.33   18.67   21.06
2003 206   11.51   18.24   16.58   21.51   18.81   21.21
2003 207   12.09   18.32   16.62   21.65   18.87   21.39
2003 208   12.17   18.42   16.73   21.59   18.78   21.54
2003 209   12.27   18.55   17.00   21.60   18.76   21.69
2003 210   12.62   18.61   17.27   21.75   18.96   21.82
2003 211   12.96   18.78   17.55   21.81   19.37   22.01
2003 212   13.34   19.04   17.99   21.93   19.65   22.24
2003 213   13.81   19.36   18.29   22.08   19.76   22.37
2003 214   14.22   19.64   18.56   22.28   19.95   22.53
2003 215   14.46   19.97   18.84   22.49   20.44   22.44
2003 216   14.73   20.23   19.21   22.76   21.31   22.45
2003 217   15.10   20.57   19.59   23.11   21.59   22.80
2003 218   15.42   20.94   19.86   23.40   21.67   23.14
2003 219   15.51   20.88   20.05   23.68   21.87   23.37
2003 220   15.52   20.71   20.13   23.80   22.17   23.39
2003 221   15.62   20.71   20.24   23.96   22.57   23.36
2003 222   15.71   20.76   20.43   24.20   23.04   23.47
2003 223   15.63   20.80   20.59   24.26   23.27   23.57
2003 224   15.93   20.78   20.72   24.24   23.47   23.59
2003 225   16.57   21.10   20.96   24.45   23.64   23.77
2003 226   17.16   21.64   21.33   24.80   23.68   24.09
2003 227   17.41   22.03   21.50   24.81   23.54   24.16
2003 228   17.29   22.14   21.46   24.50   23.33   24.02
2003 229   17.16   22.07   21.35   24.22   23.08   23.82
2003 230   17.29   21.99   21.29   24.04   22.92   23.64
2003 231   17.42   22.02   21.26   24.11   22.90   23.62
2003 232   17.45   22.20   21.32   24.30   22.92   23.79
2003 233   17.16   22.27   21.37   24.44   22.97   23.98
2003 234   16.85   22.19   21.13   24.42   22.93   24.00
2003 235   16.75   22.15   20.81   24.33   22.72   23.73
